X;Y;Z
-0.85321045;0.29722595;0.8901825
-0.8751373;0.015472412;0.16223145
-0.72016907;0.38848877;-0.28401184
-0.57164;12.274.017;-0.2416687
-0.38049316;12.028.351;-0.21313477
-0.2257843;0.558136;0.1244812
0.12780762;0.38006592;0.55288696
-0.513504;0.3798523;0.33229065
0.44636536;-0.5105896;-0.113098145
-13.566.284;-0.43528748;-0.45516968
0.012771606;-0.5677643;-0.45507813
0.5776367;-0.38237;-0.11601257
11.203.461;0.23231506;-0.27876282
0.88772583;-0.65792847;0.3221588
0.9108887;-0.61213684;0.19740295
0.84439087;-0.47198486;-0.49942017
0.2956543;-0.40312195;-0.43927002
0.12045288;-0.89486694;-0.3280182
0.3812256;-0.60964966;0.2664795
10.820.465;0.42559814;0.23730469
0.22673035;0.92663574;0.57728577
-0.77423096;0.442276;0.86042786
-10.910.187;0.5107422;-0.46768188
-0.72128296;15.125.122;-0.075912476
-0.48588562;15.380.554;0.009124756
-0.48788452;0.819458;-0.1055603
-0.6408081;0.35273743;0.276886
-0.56544495;0.7002106;0.39074707
-0.24977112;-0.14559937;-0.304245
-0.97065735;-0.10958862;-0.8390198
-0.09056091;-0.8080597;-0.78926086
0.17288208;0.041152954;-0.13639832
12.881.012;-0.19418335;-0.012481689
0.7216644;-0.49447632;-0.052612305
0.871521;-1.017.334;0.3499298
0.8228607;-0.6777191;-0.29537964
0.40945435;-0.6839905;-0.36384583
-0.038406372;-0.77853394;-0.29611206
0.22994995;-0.6064453;0.32435608
0.8297119;0.45942688;0.40005493
-0.045455933;0.5688324;0.72613525
-10.971.985;0.3534546;0.6892853
-0.9349365;0.39465332;-0.32261658
-0.7129059;13.656.769;-0.1600647
-0.6016998;17.262.115;0.113601685
-0.5844879;13.236.084;0.22235107
-0.43193054;12.234.192;0.41055298
-0.28945923;0.5614319;0.14216614
-0.6095581;-0.14157104;-0.42845154
-0.93943787;-0.36735535;-0.48008728
0.43823242;-0.68107605;-0.36054993
0.7133026;-0.096084595;-0.27085876
10.665.894;-0.4243164;-0.12438965
0.7455902;-10.079.651;0.06803894
0.935379;-0.9616394;-0.1374054
0.71759033;-0.55644226;-0.4670105
0.27604675;-0.728775;-0.18771362
0.32365417;-0.58135986;-0.052719116
0.8024597;-0.10600281;0.05041504
0.41400146;0.23324585;0.57084656
-0.53222656;0.37886047;0.9166565
-0.7901764;0.1121521;0.083999634
-0.53178406;0.66619873;-0.5112915
-0.22642517;14.191.742;-0.3371582
-0.50942993;14.011.078;-0.16503906
-0.75975037;0.8682709;0.3925171
-0.7239227;0.41496277;0.61642456
0.13371277;0.035583496;-0.03050232
-0.6090698;-10.865.936;-0.96343994
-0.44000244;-14.006.042;-0.6572876
0.5836029;-0.408432;-0.23780823
13.243.866;-0.051498413;-0.21669006
0.9604645;-0.7901306;0.20205688
0.9332733;-12.759.857;0.24269104
0.73399353;-0.9267578;-0.108932495
0.35336304;-0.54785156;-0.46546936
0.073532104;-0.70469666;-0.15626526
0.33439636;-0.2632141;0.15318298
